datetime,moteid,temperature,humidity,light,voltage
2004-02-28 01:06:16.480489,33.0,18.979,39.586,101.2,2.69964
2004-02-28 01:07:16.983728,15.0,17.95,42.2165,46.92,2.48502
2004-02-28 01:10:16.047784,14.0,17.8128,41.7133,28.52,2.69964
2004-02-28 01:10:16.539065,26.0,18.3616,42.25,121.44,2.67532
2004-02-28 01:11:46.523191,16.0,17.0484,44.1504,18.4,2.62796
2004-02-28 01:13:16.647240,52.0,17.5384,40.568,60.72,2.65143
2004-02-28 01:13:46.665400,15.0,17.8716,42.384,46.92,2.48502
2004-02-28 01:14:16.503404,15.0,17.8716,42.384,46.92,2.47467
2004-02-28 01:14:46.802749,33.0,18.9398,39.586,101.2,2.69964
2004-02-28 01:15:16.649556,1.0,19.1064,39.0082,45.08,2.69964
2004-02-28 01:16:46.435991,15.0,17.8716,42.3505,46.92,2.47467
2004-02-28 01:18:16.408748,15.0,17.8716,42.317,46.92,2.48502
2004-02-28 01:18:46.102096,24.0,18.7144,39.2803,143.52,2.69964
2004-02-28 01:19:46.120363,15.0,17.852,42.4509,46.92,2.48502
2004-02-28 01:20:16.433029,16.0,16.9602,44.3494,18.4,2.62796
2004-02-28 01:20:16.713063,21.0,19.0476,38.258,108.56,2.69964
2004-02-28 01:20:46.236604,45.0,18.2146,38.497,172.96,2.67532
2004-02-28 01:20:46.279898,12.0,17.0484,43.8848,93.84,2.66332
2004-02-28 01:21:16.715439,34.0,18.3322,41.5453,60.72,2.67532
2004-02-28 01:21:46.373104,42.0,17.9304,40.2638,478.4,2.67532
2004-02-28 01:22:16.255075,45.0,18.195,38.5652,165.6,2.67532
2004-02-28 01:22:45.937026,16.0,16.9602,44.3825,18.4,2.62796
2004-02-28 01:23:46.065503,51.0,17.656,39.8913,136.16,2.68742
2004-02-28 01:25:16.080327,43.0,18.734,37.9161,456.32,2.65143
2004-02-28 01:27:46.584942,15.0,17.8226,42.4509,46.92,2.48502
2004-02-28 01:27:46.897111,22.0,18.5968,39.1103,79.12,2.65143
2004-02-28 01:30:16.365571,40.0,18.587,39.8235,172.96,2.69964
2004-02-28 01:30:16.767084,15.0,17.7932,42.4509,46.92,2.48502
2004-02-28 01:30:46.075518,51.0,17.6364,39.9252,136.16,2.67532
2004-02-28 01:30:46.733735,15.0,17.7932,42.4509,46.92,2.47467
2004-02-28 01:31:16.491691,16.0,16.9602,44.2499,18.4,2.62796
2004-02-28 01:32:46.532605,42.0,17.7246,40.8043,478.4,2.68742
2004-02-28 01:32:46.582455,37.0,19.2926,41.7133,235.52,2.68742
2004-02-28 01:33:16.919269,41.0,18.391,39.5521,382.72,2.67532
2004-02-28 01:34:16.725196,16.0,16.9112,44.5151,18.4,2.62796
2004-02-28 01:35:16.380476,15.0,17.7638,42.4844,46.92,2.48502
2004-02-28 01:35:46.127042,40.0,18.5184,39.8235,172.96,2.68742
2004-02-28 01:35:46.830547,23.0,19.1848,38.3605,224.48,2.68742
2004-02-28 01:37:16.034665,15.0,17.754,42.4509,46.92,2.48502
2004-02-28 01:38:46.210956,15.0,17.7148,42.5178,45.08,2.47467
2004-02-28 01:39:16.387051,40.0,18.4792,39.8913,172.96,2.68742
2004-02-28 01:39:46.782397,41.0,18.342,39.5521,382.72,2.67532
2004-02-28 01:40:16.711210,15.0,17.7148,42.5178,45.08,2.48502
2004-02-28 01:40:46.234718,24.0,18.5576,39.4162,143.52,2.69964
2004-02-28 01:41:16.995846,26.0,18.1264,42.116,121.44,2.68742
2004-02-28 01:41:46.309485,12.0,16.382,45.3413,0.46,2.65143
2004-02-28 01:41:46.516909,40.0,18.4694,39.7557,172.96,2.68742
2004-02-28 01:42:16.677832,24.0,18.5282,39.3823,143.52,2.69964
2004-02-28 01:42:46.516053,41.0,18.3126,39.5521,382.72,2.67532
2004-02-28 01:43:46.879086,29.0,18.6556,39.9252,180.32,2.68742
2004-02-28 01:49:16.060880,7.0,19.126,39.4162,97.52,2.69964
2004-02-28 01:50:46.971083,12.0,16.1566,46.0655,0.46,2.65143
2004-02-28 01:51:47.264779,15.0,17.6168,42.5847,45.08,2.48502
2004-02-28 01:52:46.969201,13.0,17.4992,43.8183,1.84,2.65143
2004-02-28 01:53:16.691345,11.0,17.5874,43.6521,2.3,2.56
2004-02-28 01:53:45.965848,15.0,17.6168,42.5847,45.08,2.47467
2004-02-28 01:54:16.106805,54.0,15.647,46.7542,0.46,2.65143
2004-02-28 01:54:16.540802,3.0,19.1652,38.872,48.76,2.68742
2004-02-28 01:55:46.488904,14.0,17.5482,41.8812,23.0,2.69964
2004-02-28 01:55:46.584348,25.0,18.1068,40.0268,101.2,2.68742
2004-02-28 01:55:46.883403,50.0,16.5486,42.9189,79.12,2.66332
2004-02-28 01:57:46.423091,26.0,17.9892,42.317,121.44,2.67532
2004-02-28 01:58:45.966860,15.0,17.6266,42.4844,45.08,2.48502
2004-02-28 01:58:47.024727,18.0,18.5576,39.0763,57.04,2.50599
2004-02-28 01:59:16.982928,14.0,17.5188,41.9818,23.0,2.69964
2004-02-28 01:59:45.932600,15.0,17.607,42.4509,45.08,2.48502
2004-02-28 01:59:46.261533,18.0,18.5576,39.0763,57.04,2.50599
2004-02-28 02:00:16.368694,3.0,19.1554,38.6675,48.76,2.68742
2004-02-28 02:01:16.598625,52.0,17.4796,40.7706,57.04,2.65143
2004-02-28 02:01:45.938470,15.0,17.558,42.5847,1.84,2.47467
2004-02-28 02:01:46.972165,17.0,18.4498,39.3483,7.36,2.57108
2004-02-28 02:02:16.098367,12.0,16.1468,45.8682,82.8,2.65143
2004-02-28 02:02:46.171750,15.0,17.558,42.5847,1.84,2.47467
2004-02-28 02:03:16.339625,38.0,18.2538,39.4842,187.68,2.58226
2004-02-28 02:03:46.635916,44.0,17.3816,41.2761,97.52,2.67532
2004-02-28 02:03:46.872733,8.0,18.5576,39.9591,108.56,2.68742
2004-02-28 02:04:16.494790,15.0,17.5384,42.5847,1.84,2.47467
2004-02-28 02:05:16.450656,16.0,16.578,44.7137,1.38,2.61639
2004-02-28 02:05:46.253540,53.0,15.7156,46.4921,8.28,2.66332
2004-02-28 02:05:46.510095,30.0,17.7148,42.5847,108.56,2.67532
2004-02-28 02:05:46.511272,51.0,17.5482,40.1284,143.52,2.68742
2004-02-28 02:05:46.571745,15.0,17.509,42.5847,1.84,2.48502
2004-02-28 02:06:16.482545,53.0,15.7156,46.4265,8.28,2.65143
2004-02-28 02:06:16.581289,22.0,18.2832,39.2123,79.12,2.65143
2004-02-28 02:06:46.294654,54.0,15.5098,46.9505,0.46,2.63964
2004-02-28 02:07:16.078757,15.0,17.4992,42.5847,1.84,2.47467
2004-02-28 02:07:16.249180,13.0,17.4698,43.6521,121.44,2.65143
2004-02-28 02:07:46.983045,9.0,18.6654,41.0741,104.88,2.77533
2004-02-28 02:08:16.333136,27.0,18.9104,39.4842,79.12,2.69964
2004-02-28 02:08:46.694065,21.0,18.7144,38.3946,97.52,2.68742
2004-02-28 02:08:46.891880,30.0,17.6952,42.5847,108.56,2.68742
2004-02-28 02:11:16.480302,15.0,17.4404,42.6516,1.84,2.48502
2004-02-28 02:11:16.801793,8.0,18.5086,40.3652,108.56,2.68742
2004-02-28 02:13:15.875991,54.0,15.3824,47.114,0.46,2.65143
2004-02-28 02:13:17.092396,7.0,19.0574,39.2123,101.2,2.68742
2004-02-28 02:14:16.887393,17.0,18.342,39.3143,7.36,2.57108
2004-02-28 02:14:47.010602,34.0,18.048,41.7469,60.72,2.66332
2004-02-28 02:15:46.592225,9.0,18.636,40.973,104.88,2.76242
2004-02-28 02:16:16.728896,3.0,19.0476,38.8039,48.76,2.67532
2004-02-28 02:16:46.120992,52.0,17.2444,41.1414,53.36,2.65143
2004-02-28 02:16:46.284432,18.0,18.3616,39.2803,2.76,2.49546
2004-02-28 02:16:46.328066,25.0,17.9304,40.0945,101.2,2.67532
2004-02-28 02:17:16.276921,15.0,17.3522,42.7519,1.84,2.47467
2004-02-28 02:18:45.991494,15.0,17.3424,42.7519,1.84,2.47467
2004-02-28 02:18:46.251125,25.0,17.901,40.0945,97.52,2.68742
2004-02-28 02:19:46.751198,15.0,17.3228,42.8187,1.84,2.47467
2004-02-28 02:19:46.808459,38.0,18.2342,39.5521,187.68,2.60491
2004-02-28 02:20:16.252920,15.0,17.3228,42.7853,1.84,2.47467
2004-02-28 02:20:16.443976,6.0,19.028,38.9061,114.08,2.63964
2004-02-28 02:20:16.732846,25.0,17.8912,40.1622,101.2,2.68742
2004-02-28 02:21:46.123922,14.0,17.1856,42.4174,6.44,2.68742
2004-02-28 02:23:16.176150,38.0,18.1852,39.4502,187.68,2.59354
2004-02-28 02:23:46.184209,7.0,18.979,38.8039,101.2,2.67532
2004-02-28 02:24:16.004074,15.0,17.4502,42.4509,1.84,2.47467
2004-02-28 02:24:16.338393,53.0,15.5098,46.3609,8.28,2.65143
2004-02-28 02:24:46.148251,50.0,16.2448,43.3191,79.12,2.65143
2004-02-28 02:25:47.053382,18.0,18.2636,39.3483,2.76,2.50599
2004-02-28 02:27:46.261677,15.0,17.5972,42.0489,1.38,2.47467
2004-02-28 02:28:16.459655,21.0,18.5282,38.5311,97.52,2.68742
2004-02-28 02:29:16.064151,30.0,17.5678,42.5847,108.56,2.68742
2004-02-28 02:29:16.469941,9.0,18.5576,41.1078,104.88,2.74963
2004-02-28 02:29:17.000644,13.0,17.4502,43.5522,1.38,2.65143
2004-02-28 02:30:46.502047,11.0,17.8128,42.5847,1.84,2.57108
2004-02-28 02:31:16.224674,46.0,17.8324,39.4842,108.56,2.50599
2004-02-28 02:33:16.028488,15.0,17.5776,41.9818,1.38,2.47467
2004-02-28 02:35:16.844663,15.0,17.5874,41.9818,1.84,2.47467
2004-02-28 02:35:46.042422,15.0,17.5776,41.9483,1.84,2.47467
2004-02-28 02:37:46.297099,15.0,17.5678,41.9818,1.84,2.47467
2004-02-28 02:37:46.470680,14.0,17.0484,42.5847,0.46,2.69964
2004-02-28 02:38:16.269565,9.0,18.5184,40.8718,104.88,2.76242
2004-02-28 02:39:46.383690,16.0,16.1468,45.5061,1.38,2.61639
2004-02-28 02:39:46.536564,6.0,18.9496,38.872,114.08,2.63964
2004-02-28 02:40:16.179160,51.0,17.1856,40.6693,136.16,2.67532
2004-02-28 02:40:46.360703,16.0,16.1566,45.4402,1.38,2.61639
2004-02-28 02:41:16.056517,15.0,17.5286,42.0489,1.84,2.47467
2004-02-28 02:41:46.340469,8.0,18.3518,40.0945,108.56,2.68742
2004-02-28 02:41:46.552582,15.0,17.5384,41.9818,1.84,2.47467
2004-02-28 02:42:16.364498,47.0,17.4992,40.973,655.04,2.66332
2004-02-28 02:42:16.737732,6.0,18.9104,38.872,114.08,2.62796
2004-02-28 02:42:16.845671,15.0,17.5286,42.0489,1.84,2.47467
2004-02-28 02:43:16.720938,24.0,18.0676,39.6878,143.52,2.69964
2004-02-28 02:43:46.728948,8.0,18.3322,40.0268,108.56,2.68742
2004-02-28 02:45:46.327808,15.0,17.4992,42.0489,1.38,2.47467
2004-02-28 02:46:46.818663,15.0,17.4992,42.0489,1.38,2.47467
2004-02-28 02:47:16.261998,37.0,18.9202,41.478,209.76,2.68742
2004-02-28 02:47:16.692289,9.0,18.44,40.973,104.88,2.74963
2004-02-28 02:47:46.163365,50.0,16.0488,43.6188,75.44,2.65143
2004-02-28 02:49:16.227497,9.0,18.4302,41.2088,104.88,2.76242
2004-02-28 02:49:46.068532,15.0,17.4502,42.0489,1.38,2.47467
2004-02-28 02:50:16.079875,15.0,17.4306,42.116,1.38,2.47467
2004-02-28 02:50:46.326966,15.0,17.4404,42.116,1.38,2.4644
2004-02-28 02:50:46.657170,16.0,16.0096,45.7695,1.38,2.61639
2004-02-28 02:51:46.936600,53.0,15.157,47.2773,7.36,2.65143
2004-02-28 02:53:46.998715,18.0,18.0382,39.5521,2.76,2.49546
2004-02-28 02:54:46.134013,36.0,18.0676,43.0524,79.12,2.67532
2004-02-28 02:54:46.629112,14.0,16.8524,42.8521,0.46,2.69964
2004-02-28 02:55:47.140397,37.0,18.832,41.6461,209.76,2.68742
2004-02-28 02:56:46.814180,37.0,18.8418,41.4444,209.76,2.68742
2004-02-28 02:57:16.110126,15.0,17.3718,42.183,1.84,2.4644
2004-02-28 02:57:46.555762,2.0,19.028,39.62,121.44,2.67532
2004-02-28 02:58:16.725156,38.0,17.9696,39.5521,180.32,2.59354
2004-02-28 02:58:46.380864,38.0,17.9696,39.6878,180.32,2.59354
2004-02-28 02:58:46.730884,52.0,16.9406,41.7469,53.36,2.65143
2004-02-28 02:59:16.698062,19.0,17.901,39.7896,41.4,2.67532
2004-02-28 02:59:46.423149,8.0,18.2636,40.1622,108.56,2.68742
2004-02-28 02:59:46.481407,48.0,17.3032,40.5342,114.08,2.68742
2004-02-28 03:00:17.179253,45.0,17.558,39.3483,165.6,2.67532
2004-02-28 03:01:46.108712,15.0,17.3326,42.183,1.84,2.47467
2004-02-28 03:02:46.193359,13.0,17.0876,43.8515,1.38,2.65143
2004-02-28 03:03:16.494326,47.0,17.362,41.2088,655.04,2.65143
2004-02-28 03:03:16.631265,32.0,17.8716,40.8381,114.08,2.67532
2004-02-28 03:03:16.740176,33.0,18.391,39.5521,101.2,2.69964
2004-02-28 03:03:16.878644,48.0,17.3228,40.5342,114.08,2.69964
2004-02-28 03:04:46.113847,15.0,17.3228,42.2165,1.84,2.4644
2004-02-28 03:05:46.901783,17.0,17.852,39.8574,7.36,2.56
2004-02-28 03:06:17.224973,8.0,18.2244,40.0268,108.56,2.68742
2004-02-28 03:06:46.666218,48.0,17.313,40.6018,114.08,2.68742
2004-02-28 03:08:17.064122,25.0,17.5188,40.568,101.2,2.67532
2004-02-28 03:09:16.903345,15.0,17.2346,42.317,1.84,2.4644
